figure_id,usage_status,scientific_status,provenance_type,story_module,claim_or_purpose,figure_path,figure_sha256,plot_script_path,plot_command,input_data_ids,parent_data_ids,derived_data_ids,run_ids,theory_asset_ids,initial_state_recipe_id,reproducibility,source_document_ids,comparison_method,tolerance,notes,comparison_reference_data_id
fig-formal-1-1-skyrmion-vs-hopfion,formal,unverified,external,05_papers_and_talks,External composite of a Bloch-type skyrmion an antiskyrmion and a Hopfion with a thesis-caption mismatch,09_paper_thesis_talks/bishe/thesis_v2/figures/fig1-1_skyrmion_vs_hopfion.png,5738b7e68a67689f26aaaf706b86bf01fa1423c69946dc98b23bde127223152c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,source_identity_reviewed_caption_mismatch,doc-masell2021;doc-gobel2021;doc-thesis-ch01,source_identity_review,N/A,"source_locator=doi:10.1007/978-3-030-62844-4_7:Fig.1(b,c)|doi:10.1016/j.physrep.2020.10.001:Fig.2(l);thesis_panels_a_b_are_source_panels_b_c;thesis_caption_mislabels_them_as_neel_and_bloch;must_route_to_historical_archive;do_not_reuse_as_project_result",N/A
fig-formal-1-2-skyrmion-to-hopfion,formal,not_applicable,external,05_papers_and_talks,External conceptual construction sequence from skyrmion to Hopfion,09_paper_thesis_talks/bishe/thesis_v2/figures/fig1-2_skyrmion_to_hopfion.png,b2842b8749552b0abb40b453fc02648ecc2f356f577edfb9a6b9d3cbcba4aeab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,source_identity_reviewed,doc-liu2020;doc-thesis-ch01,source_identity_review,N/A,source_locator=doc-liu2020:Fig.3(a-d);doi=10.7693/wl20201205;conceptual_external_figure,N/A
fig-formal-2-1-hopfion-preimage-view,formal,not_applicable,external,05_papers_and_talks,External composite illustrating Hopfion sections and preimage linking,09_paper_thesis_talks/bishe/thesis_v2/figures/fig2-1_hopfion_preimage_view.png,58f30ac60ae759544d273e2a818cd10dd32a74fc860418303f28e73b4fe49ea5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,source_identity_reviewed,doc-rybakov2022;doc-kasai2025;doc-thesis-ch02,source_identity_review,N/A,source_locator=doi:10.1063/5.0099942:Fig.1(a-c)|arXiv:2511.23045v1:Fig.1(a);panel_source_identity_reviewed;conceptual_external_composite;do_not_reuse_as_project_result,N/A
fig-formal-3-1-qh-family,formal,valid,theory,01_stability,Visualize analytically constructed Hopf textures with QH 1 2 and 4,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-1_hopfion_vis_combined.png,67e16e56ac9d5f8d4b64d2366389e30871832aafd68e3d198ff177f7997d98a2,09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig3-1_hopfion_vis_combined.py,/mnt/d/Research/Hopfion/hopfion/bin/python 09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig3-1_hopfion_vis_combined.py 95_shared_scripts/handoff_delivery/figure_data/fig3_1_qh1_mesh.csv 95_shared_scripts/handoff_delivery/figure_data/fig3_1_qh2_p2q1_mesh.csv 95_shared_scripts/handoff_delivery/figure_data/fig3_1_qh2_p1q2_mesh.csv 95_shared_scripts/handoff_delivery/figure_data/fig3_1_qh4_mesh.csv,data-fig3-1-qh1-mesh;data-fig3-1-qh2-p2q1-mesh;data-fig3-1-qh2-p1q2-mesh;data-fig3-1-qh4-mesh,data-ref-qh1-p1q1-field;data-ref-qh2-p2q1-field;data-ref-qh2-p1q2-field;data-ref-qh4-p2q2-field,N/A,N/A,asset-hopfion-analytic-texture-generator,N/A,inputs_hash_validated,doc-thesis-ch03,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch03:Fig.3-1;provenance_is_analytic_texture_not_dynamics;source_fields_are_excluded_from_delivery,N/A
fig-formal-3-4-drift-10ns,formal,valid,simulation,01_stability,Report the measured centroid trajectory during the 10 ns stability run,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-4_drift_trajectory_10ns.png,d9e50ecb0cfecb9ba9ea893b26dca3de9f7461b2b31c634c32dc57cc19c9e8bb,95_shared_scripts/handoff_delivery/validate_plot_inputs.py,/usr/bin/python3 95_shared_scripts/handoff_delivery/validate_plot_inputs.py --output shared/redraw_products/01_stability.csv 09_paper_thesis_talks/bishe/thesis_v2/figures/drift10ns_centroid_bg_mx_axis_x.csv,data-drift10ns-centroid-csv,data-drift10ns-centroid-csv,N/A,run-stability-drift10ns,N/A,init-drift-axisx-bgmx-r3r2,numeric_product_reproduced,doc-thesis-ch04,numpy.testing.assert_allclose,rtol=0;atol=0,source_locator=doc-thesis-ch04:Fig.3-4;claim_limited_to_measured_centroid_motion;historical_background_drift_interpretation_not_reused,data-reference-module01-drift
fig-formal-3-8-centered-z-drift,formal,valid,simulation,01_stability,Compare centered axial displacement for three anisotropy settings,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-8_centered_z_drift.png,1f115c86c542665174265db1f68147fb84840985c75beb011e1550632b6aa37c,09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig3-8_centered_z_drift.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig3-8_centered_z_drift.py 09_paper_thesis_talks/bishe/thesis_v2/figures/centered_stability_Ku0.csv 09_paper_thesis_talks/bishe/thesis_v2/figures/centered_stability_Ku10k.csv 09_paper_thesis_talks/bishe/thesis_v2/figures/centered_stability_Ku50k.csv,data-centered-stability-ku0-csv;data-centered-stability-ku10k-csv;data-centered-stability-ku50k-csv,data-centered-stability-ku0-csv;data-centered-stability-ku10k-csv;data-centered-stability-ku50k-csv,N/A,run-centered-stability-ku0;run-centered-stability-ku10k;run-centered-stability-ku50k,N/A,init-centered-ku10k,inputs_hash_validated,doc-thesis-ch04,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch04:Fig.3-8;reports_centered_coordinate_series_only,N/A
fig-formal-3-9-centered-qh,formal,valid,simulation,01_stability,Report the stored Hopf invariant time series for centered stability cases,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-9_centered_Qh_evolution.png,5a3c5722f871dae2ed9fc1e6212b787a48bd5b70010f4750237dd3553c54eeca,09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig3-9_centered_Qh_evolution.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/make_fig3-9_centered_Qh_evolution.py 95_shared_scripts/handoff_delivery/figure_data/centered_qh_timeseries.csv,data-centered-qh-timeseries-npy,data-centered-qh-timeseries-npy,N/A,run-centered-stability-ku0;run-centered-stability-ku10k;run-centered-stability-ku50k,N/A,init-centered-ku10k,inputs_hash_validated,doc-thesis-ch04,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch04:Fig.3-9;stored_Qh_series_requires_schema_and_units_manifest,N/A
fig-formal-3-7-anisotropy-summary,formal,valid,simulation,01_stability,Summarize the observed survival window across the anisotropy sweep,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-7_anisotropy_summary.png,01d9ab36a2b5c50a91a71c70cb90b62a8b3f73531f571ac0ac1a743d7d2736c3,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig3-7_anisotropy_summary.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig3-7_anisotropy_summary.py 04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt,data-ku-survival-summary,data-ku-critical-sweep-tables,N/A,run-ku-critical-sweep,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch04,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch04:Fig.3-7;plot_script_embeds_transcribed_values;machine_readable_source_comparison_required_before_full_reproducibility,N/A
fig-formal-3-6-anisotropy-rr-time,formal,valid,simulation,01_stability,Compare extracted torus radii over time across anisotropy settings,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-6_anisotropy_Rr_vs_time.png,f544a1c3f02fbed26bd53f342387ae21b0fad848fae83676ed2b799671afc64b,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-4_anisotropy_time.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-4_anisotropy_time.py 09_paper_thesis_talks/bishe/thesis_v2/figures/anisotropy_Rr_vs_time.csv,data-anisotropy-rr-time-csv,data-ref-ku-critical-field-series,N/A,run-ku-critical-sweep,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch04,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch04:Fig.3-6;cached_csv_is_the_delivery_input;field_series_is_excluded,N/A
fig-formal-3-3-size-convergence,formal,valid,simulation,01_stability,Compare extracted Hopfion dimensions across simulation cell sizes,09_paper_thesis_talks/bishe/thesis_v2/figures/fig3-3_size_convergence.png,ac7c27a702b3427651dfa3b550fb3a967b65a89d579be3b5694c28191805a818,09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-6_size_convergence.py,python3 09_paper_thesis_talks/bishe/thesis_v2/figures/redraw_fig4-6_size_convergence.py 09_paper_thesis_talks/bishe/thesis_v2/figures/size_convergence_cache.csv,data-size-convergence-cache-csv,data-ref-size-convergence-field-series,N/A,run-size-convergence,N/A,init-analytic-axisz-r8r4,inputs_hash_validated,doc-thesis-ch04,numpy.testing.assert_allclose,rtol=1e-7;atol=1e-10,source_locator=doc-thesis-ch04:Fig.3-3;cached_csv_is_the_delivery_input;field_series_is_excluded,N/A
